Post,Title,Comment,Query,Contents
1,About the Copter 3.3 category,1,Discussions and support requests for Copter 3.3,"I would like to assign the RC10 to the sutter using the camera trigger. However, the parameter can not be stored in the designated RC10. Can I modify it directly in the full parameter? Or can you send me the modified parameters? firmware : coter 3.3.3 (HEXA) my camera : sony from qx-1 FC : pixhawk transmitter : tananis 9 module : Seagull #REC"
2,"I can't connect ardupilot plane. ""Mavlink Connecting...""",1,"I downloaded the mission planner simulation and set up the sitl. After doing all the operations correctly, I started the coatcopter. But I want to open mission planner with plane but I am having a connection problem. first I write the following command for the connection. dronekit-sitl plane-3.3.0 --home=-35.363261,149.165230,584,353 Then I try to connect over mavproxy with the command below, but the “mavlink connecting …” warning is always displayed and it is not connected. mavproxy.py --master tcp:127.0.0.1:5760 --sitl 127.0.0.1:5501 --out 127.0.0.1:14550 --out 127.0.0.1:14551 I ran the same code above on the coatcopter. In the meantime, the Mission Planner application is connected as UDP and 57600. Where am I making a mistake please can you help?",You are better off compiling the SITL yourself. And you should decide if you want to use plane or copter. You mention plane in the commands and on the text but you also talk about copter and you posted on a copter thread. What is it Plane or Copter??? And please update to 4.0.7 or 4.0.9
2,"I can't connect ardupilot plane. ""Mavlink Connecting...""",2,"I downloaded the mission planner simulation and set up the sitl. After doing all the operations correctly, I started the coatcopter. But I want to open mission planner with plane but I am having a connection problem. first I write the following command for the connection. dronekit-sitl plane-3.3.0 --home=-35.363261,149.165230,584,353 Then I try to connect over mavproxy with the command below, but the “mavlink connecting …” warning is always displayed and it is not connected. mavproxy.py --master tcp:127.0.0.1:5760 --sitl 127.0.0.1:5501 --out 127.0.0.1:14550 --out 127.0.0.1:14551 I ran the same code above on the coatcopter. In the meantime, the Mission Planner application is connected as UDP and 57600. Where am I making a mistake please can you help?",Hello. were you able to solve the problem?
3,ArduCopter attitude controller ef to bf conversion,1,"I am very new to ArduCopter and am trying to understand how the attitude control works. As a starting point, I am using ArduCopter 3.3 since it uses Euler angles instead of quaternions. I am confused about converting ef angle errors to desired bf angular rates. The following is in relation to angle_ef_roll_pitch_yaw method. My thought was that I would first compute ef angle errors, multiply those by respective proportional gains to get desired ef angular rates. Then I would transform the desired ef angular rates to desired body frame angular rates. However, going through the angle_ef_roll_pitch_yaw method, it seems that first ef angle errors are computed and those are then transformed into body frame. And then the corresponding proportional gains are applied to get desired bf angular rates. I do not understand that part. I thought one can convert ef angular rates into bf angular rates, but as mentioned above the code applies the coordinate transformation to the ef angle errors and not angular rates. We know that multiplying by proportional gains before the transformation is not the same as multiplying after the transformation. I would greatly appreciate any input in this regard! That will help clear up my confusion. Thanks!",Take a look at: * * there are lots of information about the control loops. And if you want to implement your own controller take a look at: *
3,ArduCopter attitude controller ef to bf conversion,2,"I am very new to ArduCopter and am trying to understand how the attitude control works. As a starting point, I am using ArduCopter 3.3 since it uses Euler angles instead of quaternions. I am confused about converting ef angle errors to desired bf angular rates. The following is in relation to angle_ef_roll_pitch_yaw method. My thought was that I would first compute ef angle errors, multiply those by respective proportional gains to get desired ef angular rates. Then I would transform the desired ef angular rates to desired body frame angular rates. However, going through the angle_ef_roll_pitch_yaw method, it seems that first ef angle errors are computed and those are then transformed into body frame. And then the corresponding proportional gains are applied to get desired bf angular rates. I do not understand that part. I thought one can convert ef angular rates into bf angular rates, but as mentioned above the code applies the coordinate transformation to the ef angle errors and not angular rates. We know that multiplying by proportional gains before the transformation is not the same as multiplying after the transformation. I would greatly appreciate any input in this regard! That will help clear up my confusion. Thanks!","* Thank you so much for your reply! I will go through the links you have provided, and hopefully I will understand all the details."
4,Remaining battery always shows 99%,1,i’m using apm version 3.3.2 copter with a attopilot 180 amp pm . I have gone though the optional hardware  battery  voltage and amp calibrations and they show up accurate on the screen but the bat remaining % always shows 99% even when battery may be down to say 70%. I’ve look though the perimeter list and couldn’t find any thing that I could tell that would be causing this to happen . I’m new to this and could use some help. any ideas .,Did you set corrrect battery capacity in parameter ?
4,Remaining battery always shows 99%,2,i’m using apm version 3.3.2 copter with a attopilot 180 amp pm . I have gone though the optional hardware  battery  voltage and amp calibrations and they show up accurate on the screen but the bat remaining % always shows 99% even when battery may be down to say 70%. I’ve look though the perimeter list and couldn’t find any thing that I could tell that would be causing this to happen . I’m new to this and could use some help. any ideas .,yes I have entered the capacity correctly I’ve also tried changing it.  same thing 99%
4,Remaining battery always shows 99%,3,i’m using apm version 3.3.2 copter with a attopilot 180 amp pm . I have gone though the optional hardware  battery  voltage and amp calibrations and they show up accurate on the screen but the bat remaining % always shows 99% even when battery may be down to say 70%. I’ve look though the perimeter list and couldn’t find any thing that I could tell that would be causing this to happen . I’m new to this and could use some help. any ideas .,Same issue for me. I hate this 20 character limit crap.
4,Remaining battery always shows 99%,4,i’m using apm version 3.3.2 copter with a attopilot 180 amp pm . I have gone though the optional hardware  battery  voltage and amp calibrations and they show up accurate on the screen but the bat remaining % always shows 99% even when battery may be down to say 70%. I’ve look though the perimeter list and couldn’t find any thing that I could tell that would be causing this to happen . I’m new to this and could use some help. any ideas .,I have this problem. Battery Always 99% regardless the actual charge. Cant find the solution in this thread. Anyone knows how ti fix It? Many thanks
4,Remaining battery always shows 99%,5,i’m using apm version 3.3.2 copter with a attopilot 180 amp pm . I have gone though the optional hardware  battery  voltage and amp calibrations and they show up accurate on the screen but the bat remaining % always shows 99% even when battery may be down to say 70%. I’ve look though the perimeter list and couldn’t find any thing that I could tell that would be causing this to happen . I’m new to this and could use some help. any ideas .,"The battery percentage varies according to the current consumed, not the voltage level of the battery. Check that you have set the battery capacity correctly."
