Post,Title,Comment,Query,Contents
1,About the Copter 3.1 category,0,Discussions and support requests for Copter 3.1,
2,Welcome v3.1 and thanks dev team,1,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *",Yes some major changes that will make others look. Of course all questions to go into these new forums.
2,Welcome v3.1 and thanks dev team,2,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *",congratulations guys.  I know it’s been a long road of testing.
2,Welcome v3.1 and thanks dev team,3,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *","Couldn’t resist myself and went out in fog and subzero temperatures for a spin and an autotune session. After saving and applying the autotuned PIDs, was a bit surprised by the wobbly feel, until I landed again and checked the props. They had almost double the thickness due to ice buildup on the blades  "
2,Welcome v3.1 and thanks dev team,4,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *",Congrats Team for this great job! Marco
2,Welcome v3.1 and thanks dev team,5,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *","Drift mode is interesting addition, with yaw where roll normally is. I learnt to use rudder on trad heli’s so this new mode is certainly different, more like driving a RC car. Feels unnatural for a 'copter but I’m sure one could get used to it quickly. Don’t try roll to avoid an obstacle like I did… missed it but a tiny moment of panic there "
2,Welcome v3.1 and thanks dev team,6,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *",I think drift will be a great way for new quad owners to get their first figure 8 going. After getting the basic forward/backwards movements they can switch to this and not have to worry about putting in too much yaw.
2,Welcome v3.1 and thanks dev team,7,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *","Thanks guys for the update. I put it onto the PIXHAWK rev. 2.3 and it worked nice after Compass and ACC cali. I did not try to do compassmot, since the XYZ values were below 150 and I did not notice misbehavior regarding this at 3.1RC4. AltHold worked fine as well, surprisingly, since Randy reported some errors with the “old” PIXHAWK. A little bit confusing, that the PIXHAWK changed its startup sound…bye bye… nice bird whistle at the start. But I have a Question: What exactly does Load IRIS Defaults do ?  I (idiot) did not save the Parameter set of RC4, since I figured that they are loaded by this button anyways…but since only a RC config page (flight modes?) showed up, after using this button , Im not sure anymore… Btw. I noticed  (after trying several MP revs, USB HUB, different cables , stripping all add ons) that the update of the PIXHAWK hasnt been possible with my Thinkpad T43 , LenovoT60 and X60s, which worked together well with the APM before and did well with the PIXHAW config . It did not make any difference using an active HUB or unplugging all the externals. An older HP notebook did the job right away…"
2,Welcome v3.1 and thanks dev team,8,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *",First ever post here…so it’s a good one…  Thanks to all the team for releasing this great firmware. May the force be with you… 
2,Welcome v3.1 and thanks dev team,9,"Finally it’s here! Huge thank you all those involved for making this release possible. ArduCopter has come so far in the last two years, it’s more amazing than most realize! Details of the release here: *","Gingratulation to the developers team, also to beta testers! Really Great firmware! On big thanks from all of us, who we are flying our copters with this great peace of software! RESPECT!!!"
